business_name,record_type,record_number,record_status,applicant_address,office_address,mailing_address,initial_filing_date,business_purpose_NAICS_codes,agent_names,registrant_names,registrant_type,registrant_street_address,registrant_mailing_address,name_matches,type_match,status_match,resignation_dateh,agent_street_address,agent_mailing_address
Ranger's General Stores Inc,Domestic Business Corporation,374560,Active - NOT In Good Standing,," 7788 VT-113, Post Mills, VT, 05058, USA","145 Pine Haven Shores Rd. #1000A, Shelburne, VT, 05482, USA",,,,,,,,REGISTERED AGENTS INC. Agent,Business,Active,None Registered Office (Street,"145 PINE HAVEN SHORES RD #1000A, SHELBURNE, VT, 05482, USA","145 PINE HAVEN SHORES RD #1000A, SHELBURNE, VT, 05482, USA"
Lowell General Store,Assumed Name,374584,Inactive - Cessated,, None,"3042 Vt Rt 100, Lowell, VT, 05847, USA",2020-07-19,,,"KENMU, LLC",Business,"3042 Vermont Route 100, Lowell, VT, 05847, USA","1299 Route 12A, Northfield, VT, 05663, USA",,,,,,
Martin's General Store,Assumed Name,265419,Inactive - Expired,," HIGHGATE SPGS, VT, 5459, USA",None,1989-08-30,,,"RUTH MARTIN, RALPH DEXTER",Individual,"None, HIGH STREET, ST. ALBANS, VT, 05478, USA","None, None",,,,,,
"Air General Store, LLC",Domestic Limited Liability Company,463342,Active - In Good StandingDesignated Office,,,"(Optional) 71 US Route 2, South Hero, VT, 05486, USA",,,,,,,,,,,,,
Belmont General Store,Assumed Name,170422,Inactive - Expired,," BELMONT, VT, USA","2400 BELMONT ROAD, BELMONT, VT, 05730, USA",2001-07-16,,,"CHRISTOPHER J. KELLEY,LLC, CHRISTOPHER J. KELLEY, LLC",Business,"2400 BELMONT ROAD, BELMONT, VT, 05730, USA, 2400 BELMONT ROAD, BELMONT, VT, 05730, USA","None, 2400 BELMONT ROAD, BELMONT, VT, 05730, USA",,,,,,
Bogert's General Store,Assumed Name,164390,Inactive - Expired,," SAXTONS RIVER, VT, 5154, USA","MAIN STREET, SAXTONS RIVER, VT, 05154, USA",1979-04-17,,,"CHARLES L.  BOGERT, PHILOMENA BOGERT",Individual,"MAIN STREET, SAXTONS RIVER, VT, 05154, USA, SAME, USA","None, None",,,,,,
Apple Island General Store,Assumed Name,334364,Active - Registered,, None,"280 Daines Street, Suite 300, Birmingham, MI, 48009, USA",2017-09-01,,,"AIR DEVELOPMENT, LLC",Business,"71 US ROUTE 2, SOUTH HERO, VT, 05486, USA","71 US ROUTE 2, SOUTH HERO, VT, 05486, USA",,,,,,
Coon's General Store,Assumed Name,170631,Inactive - Expired,," JCT. OF RT 4 & 30, BOMOSEEN, VT, 5732, USA","JCT. OF RT 4 & 30, BOMOSEEN, VT, 05732, USA",1992-04-02,,,"BEVERLY G.  DAVIDSON, DAVID T.  MURRAY",Individual,"13 CAPITOL HILL, FAIR HAVEN, VT, 05743, USA, 285 107TH AVE., TREASURE ISLND, FL, 33706, USA","None, None",,,,,,
Cambridge General Store,Assumed Name,163781,Inactive - Expired,," CAMBRIDGE, VT, 5444, USA","RD 1, BOX 283, CAMBRIDGE, VT, 05444, USA",1979-03-20,,,"WILLIAM LEACH, JANICE LEACH",Individual,"RD 1, BOX 283, CAMBRIDGE, VT, 05444, USA, SAME, USA","None, None",,,,,,
Putney General Store,Assumed Name,276292,Inactive - Expired,," PUTNEY, VT, USA","13 DUSTY RIDGE, PUTNEY, VT, 05346, USA",2008-11-17,,,"FOUR KMBL. HL. PRESV.,L3C, FOUR KIMBALL HILL PRESERVATION, L3C",Business,"13 DUSTY RIDGE, PUTNEY, VT, 05346, USA, 13 Dusty Ridge Rd, Putney, VT, 05346, USA","None, P.O. Box 260, P.O. Box 260, Putney, VT, 05346, USA",,,,,,
"Essex Center General Store, The",Assumed Name,265919,Inactive - Expired,," ROUTE 15, ESSEX CENTER, VT, 5451, USA","ROUTE 15, ESSEX CENTER, VT, 05451, USA",1989-09-18,,,ROBIN L.  DAVIS,Individual,"692 NORTH AVENUE, BURLINGTON, VT, 05401, USA",None,,,,,,
Falls General Store & Deli,Assumed Name,235574,Inactive - Expired,," NORTHFIELD, VT, 5663, USA","7 COX BROOK RD, NORTHFIELD, VT, 05663, USA",2005-08-29,,,"MA-GATOR, INC., MA-GATOR, INC.",Business,"7 COX BROOK RD, NORTHFIELD, VT, 05663, USA, 7 COXBROOK RD. POB 435, NORTHFIELD FAL, VT, 06554, USA","None, 7 COXBROOK RD. POB 435, NORTHFIELD FAL, VT, 06554, USA",,,,,,
"Messier's General Store, Inc.",Domestic Business Corporation,124719,Inactive - Administratively Terminated,," 29 VT RTE 14S, E RANDOLPH, VT, 05041, USA","29 VT RTE 14S, E RANDOLPH, VT, 05041, USA",,,,,,,,AMY MESSIER Agent,Individual,Active,None Registered Office (Street,"PO 240, E RANDOLPH, VT, 05041, USA","PO 240, E RANDOLPH, VT, 05041, USA"
"J 'n B General Store, LLC",Domestic Limited Liability Company,020067,Inactive - Administratively TerminatedDesignated Office,,,"(Optional) 26 THE COMMON, CHESTER, VT, 05143, USA",,,,,,,,,,,,,
Jericho General Store,Assumed Name,153745,Inactive - Expired,," RTE 15, JERICHO, VT, 5465, USA","RTE 15, JERICHO, VT, 05465, USA",1980-07-23,,,WILLIAM SCHIFFLER,Individual,"BOX 244, JERICHO, VT, 05465, USA",None,,,,,,
Monkton General Store,Assumed Name,262307,Inactive - Expired,," MONKTON, VT, USA","321A MONKTON RIDGE R, MONKTON, VT, 05469, USA",2007-08-30,,,"SD ALDERMAN, INC, SD ALDERMAN,  INC",Business,"231  Monkton Ridge Road, North Ferrisburgh, VT, 05473, USA, 321A MONKTON RIDGE R, MONKTON, VT, 05469, USA","231 AMonkton Ridge Road, 231  Monkton Ridge Road, NORTH FERRISBURGH, VT, 05473, USA, None",,,,,,
Bradley's General Store,Assumed Name,183587,Inactive - Expired,," BOX 1995, JOHNSON, VT, 5656, USA","BOX 1995, JOHNSON, VT, 05656, USA",1993-02-18,,,"BRADLEY'S GENERAL STORE, INC.",Business,"25 VT RTE 15W, JOHNSON, VT, 05656, USA","25 VT RTE 15W, JOHNSON, VT, 05656, USA",,,,,,
Snowsville General Store,Assumed Name,415932,Active - Registered,, None,"4642 VT RT12, Braintree, VT, 05060, USA",2022-09-15,,,Eugene Booska,Individual,"4642 VT RT 12, Braintree, VT, 05060, USA","4642 VT RT 12, Braintree, VT, 05060 - 0506, USA",,,,,,
"Lake Dunmore General Store, Inc.",Domestic Business Corporation,110272,Inactive - Administratively Terminated,," LAKE DUNMORE, SALISBURY, VT, 05769, USA","LAKE DUNMORE, SALISBURY, VT, 05769, USA",,,,,,,,JOHN C.  DEPPMAN Agent,Individual,Active,None Registered Office (Street,"7 WASHINGTON STREET, MIDDLEBURY, VT, 05753, USA","7 WASHINGTON STREET, MIDDLEBURY, VT, 05753, USA"
J & L's General Store,Assumed Name,270055,Inactive - Expired,," FORREST DALE, VT, USA",None,2008-04-15,,,"JOHN MOHAN, LAUREN MOHAN",Individual,"None, 2424 STAGE RD, BENSON, VT, 05731, USA","None, None",,,,,,
Chippenhook General Store,Assumed Name,212090,Inactive - Expired,," ARLINGTON, VT, 5250, USA","13 OLD MILL RD, ARLINGTON, VT, 05250, USA",2003-12-01,,,"GRANDY'S GENERAL STORE, INC.",Business,"SAME AS ABOVE, -NONE ON FILE-, USA","SAME AS ABOVE, -NONE ON FILE-",,,,,,
Fletcher General Store,Assumed Name,332750,Inactive - Expired,, None,"271 SHAW RD, CAMBRIDGE, VT, 05444, USA",2017-07-14,,,"CARDINAL GENERAL STORE, LLC",Business,"271 Shaw Road, CAMBRIDGE, VT, 05444, USA","271 SHAW ROAD, CAMBRIDGE, VT, 05444, USA",,,,,,
Nichols General Store,Assumed Name,156022,Inactive - Expired,," DANBY, VT, 5739, USA","P.O. Box 102, DANBY, VT, 05739, USA",1991-03-27,,,"THOMAS F.  FULLER, PAMELA M.  FULLER",Individual,"MAIN STREET, DANBY, VT, 05739, USA, SAME, USA","None, None",,,,,,
"Corn Crib General Store, The",Assumed Name,157763,Inactive - Expired,," BLACK POND ROAD, HUBBARDTON, VT, 5743, USA","BLACK POND ROAD, HUBBARDTON, VT, 05743, USA",1979-07-18,,,ROBERT GIBBS,Individual,"RD 1 BLACK POND RD, FAIR HAVEN, VT, 05743, USA",None,,,,,,
Eden General Store,Assumed Name,245062,Inactive - Expired,," ROUTES 100 & 118, EDEN, VT, 5652, USA","ROUTES 100 & 118, EDEN, VT, 05652, USA",1988-01-06,,,ARTHUR MCNEILL,Individual,"ROUTES 100 & 118, EDEN, VT, 05652, USA",None,,,,,,
"Historic Craftsbury General Store, Inc.",Domestic Business Corporation,128493,Dissolved,," 118 S. CRAFTSBURY RD, CRAFTSBURY, USA","118 S. CRAFTSBURY RD, CRAFTSBURY",,,,,,,,DAVID STEMBER Agent,Individual,Active,None Registered Office (Street,"118 SOUTH CRAFTSBURY RD., CRAFTSBURY, VT, 05826, USA","118 SOUTH CRAFTSBURY RD., CRAFTSBURY, VT, 05826, USA"
"Gray's General Store, Inc.",Domestic Business Corporation,076837,Inactive - Administratively Terminated,," DANVILLE, VT, 05828, USA",None,,,,,,,,VIRGINIA GRAY Agent,Individual,Active,None Registered Office (Street,"PO BOX 753 74 MAPLE PARK, ENOSBURG FALLS, VT, 05450, USA",None
"Whistle Stop General Store, The",Assumed Name,220355,Inactive - Expired,," CORNER BURROWS RD/, VERNON, VT, 5354, USA","CORNER BURROWS RD/, VERNON, VT, 05354, USA",1985-10-09,,,"BARBARA J.  NOKES, SHIRLEY M.  NOKES",Individual,"(NEWTON ROAD), USA, RFD 1, BOX 248, VERNON, VT, 05354, USA","None, None",,,,,,
Belmont General Store The,Assumed Name,158612,Inactive - Expired,," PO BOX 287, BELMONT, VT, 5730, USA","PO BOX 287, BELMONT, VT, 05730, USA",1991-05-20,,,GRAVES INVESTMENT CORP.,Business,"126 Main Street, Suite 1A, Ludlow, VT, 05149, USA","P.O. Box 287, BELMONT, VT, 05730, USA",,,,,,
Shaw's General Store,Assumed Name,234631,Inactive - Expired,," STOWE, VT, 5672, USA","P.O. Box 189, STOWE, VT, 05672, USA",2005-07-27,,,"STOWEAR LLC, STOWEAR LLC",Business,"54 MAIN STREET, POB 189, STOWE, VT, 05672, USA, 54 MAIN ST, STOWE, USA","P.O. Box 189, Stowe, VT, 05672, USA, None",,,,,,
D & R General Store,Assumed Name,172102,Inactive - Expired,," ROUTE 121, CAMBRIDGEPORT, VT, 5141, USA","ROUTE 121, CAMBRIDGEPORT, VT, 05141, USA",1990-05-22,,,"DANIEL B.  WELLS, ROBIN C.  WELLS",Individual,"P.O. BOX 85, CAMBRIDGEPORT, VT, 05141, USA, SAME, USA","None, None",,,,,,
Last Chance General Store LLC,Domestic Limited Liability Company,454487,Active - In Good StandingDesignated Office,,,"(Optional) PO Box 63, Post Mills, VT, 05058, USA",,,,,,,,,,,,,
"Debanville's General Store, LLC",Domestic Limited Liability Company,010691,Inactive - Administratively TerminatedDesignated Office,,,"(Optional) 47 VERMONT RTE 105, BLOOMFIELD, VT, 05905, USA",,,,,,,,,,,,,
Danville General Store,Assumed Name,164994,Inactive - Expired,," DANVILLE, VT, 5828, USA","MAIN STREET, DANVILLE, VT, 05828, USA",1979-05-09,,,PETERSON CORPORATION,Business,"170 RIVER ST, MONTPELIER, VT, 05602, USA","170 RIVER ST, MONTPELIER, VT, 05602, USA",,,,,,
Franklin General Store,Assumed Name,213696,Inactive - Expired,," FRANKLIN, VT, 5457, USA",None,1995-03-15,,,"JAMES M.  RACINE, CLAUDETTE M.  RACINE",Individual,"MAIN ST., FRANKLIN, VT, 05457, USA, SAME, USA","None, None",,,,,,
"Historic Craftsbury General Store, Inc.",Domestic Business Corporation,063049,Dissolved,," MAIN ST., CRAFTSBURY, VT, 05826, USA","MAIN ST., CRAFTSBURY, VT, 05826, USA",,,,,,,,DOROTHY HUMPHREY Agent,Individual,Active,None Registered Office (Street,"MAIN ST, CRAFTSBURY, VT, 05826, USA","MAIN ST, CRAFTSBURY, VT, 05826, USA"
South Newfane General Store,Assumed Name,197939,Inactive - Expired,," S. NEWFANE, VT, 5351, USA",None,1983-09-20,,,"JOHN A.  FITTS, ELIZABETH D.  FITTS",Individual,"EAST DOVER RD., NEWFANE, VT, 05345, USA, SAME, USA","None, None",,,,,,
West Barnet General Store,Assumed Name,230871,Inactive - Expired,," WEST BARNET, VT, USA",None,1996-04-25,,,"ANDREW W.  RYAN, VERONICA A.  RYAN",Individual,"POB 24, MCINDOE FALLS, VT, 05050, USA, SAME, USA","None, None",,,,,,
Sunrise General Store,Assumed Name,410915,Active - Registered,, None,"44 u.s rte 4, Bridgewater Corners, VT, 05035, USA",2022-06-16,,,"RIPPIN, INC.",Business,"JCT RT 4 & 100 SOUTH/44 Route 4, BRIDGEWATER CN, VT, 05035, USA","JCT RT 4 & 100 SOUTH/44 Route 4, BRIDGEWATER CN, VT, 05035, USA",,,,,,
D & R General Store,Assumed Name,183408,Inactive - Expired,," CAMBRDIGEPORT, VT, USA",None,2011-03-18,,,VICKIE L  BARRETT,Individual,"PO BOX 85-997 SAXTON, CAMBRIDGEPORT, VT, 05141, USA",None,,,,,,
Graniteville General Store,Assumed Name,389797,Inactive - Expired,, None,"2725 South Hill Road, Williamstown, VT, 05679, USA",2021-05-24,,,GG STORE INC.,Business,"2725 S. Hill Rd., Williamstown, VT, 05679, USA","2725 S. Hill Rd., Williamstown, VT, 05679, USA",,,,,,
Troy General Store LLC,Domestic Limited Liability Company,015115,TerminatedDesignated Office,,,"(Optional) VT ROUTE 100, TROY, VT, 05868, USA",,,,,,,,,,,,,
Barnard General Store,Assumed Name,195037,Inactive - Expired,," BARNARD, VT, 5031, USA",None,1983-06-02,,,TERRY D.  HARLOW,Individual,"BOX 182, WOODSTOCK, VT, 05091, USA",None,,,,,,
Clarendon Springs General Store,Assumed Name,188277,Inactive - Expired,," CLARENDON, VT, USA",None,2002-08-12,,,TERRY C  COX,Individual,"PO BOX 401, RUTLAND, VT, 05702, USA",None,,,,,,
Little Otter General Store,Assumed Name,186451,Inactive - Expired,," US. ROUTE 7, FERRISBURGH, VT, 5456, USA","US. ROUTE 7, FERRISBURGH, VT, 05456, USA",1993-04-15,,,"THEODORE M.  BOELENS, AGNES D.  BOELENS",Individual,"RR 1, BOX 1345, FERRISBURGH, VT, 05456, USA, SAME, USA","None, None",,,,,,
"East Dover General Store, LLC",Domestic Limited Liability Company,475191,Active - In Good StandingDesignated Office,,,"(Optional) 4 North Street, East Dover, VT, 05341, USA",,,,,,,,,,,,,
Watroba's General Store L.P.,Domestic Limited Partnership,281035,Active - In Good Standing,," PO BOX 253, READING, VT, 05062, USA","(Optional) PO BOX 253, READING, VT, 05062, USA",,,,,,,,,,,,,
Jay Peak Provisions General Store,Assumed Name,417013,Active - Registered,, None,"P.O. Box 980968, Park City, UT, 84098, USA",2022-10-07,,,JAY PEAK PACIFIC LLC,Business,"1389 Center Drive, Suite 200, Park City, UT, 84098, USA","P.O. Box 980968, Park City, UT, 84098, USA",,,,,,
Chester General Store,Assumed Name,189189,Inactive - Expired,," ROUTE 103, CHESTER, VT, 5143, USA","ROUTE 103, CHESTER, VT, 05143, USA",1982-10-26,,,"PAUL W.  GOTSCH, MARY ELLEN  GOTSCH",Individual,"ROUTE 103, CHESTER, VT, 05143, USA, SAME, USA","None, None",,,,,,
"Whistle Stop - General Store, The",Assumed Name,228888,Inactive - Expired,," CORNER BURROWS RD, VERNON, VT, 5354, USA","CORNER BURROWS RD, VERNON, VT, 05354, USA",1986-08-04,,,"T W S, INC.",Business,"RTE 142, VERNON, VT, 05354, USA","RTE 142, VERNON, VT, 05354, USA",,,,,,
Williamstown General Store,Assumed Name,203160,Inactive - Expired,," WILLIAMSTOWN, VT, USA","POB 554, WILLIAMSTOWN, VT, 05679, USA",1994-05-09,,,"VALERIE L.  KLOFACH, ERICH B.  KLOFACH",Individual,"POB 554, WILLIAMSTOWN, VT, 05679, USA, SAME, USA","None, None",,,,,,
Giorgio Armani General Store,Assumed Name,195736,Inactive - Expired,," ROUTES 11/30 & 7, MANCHESTER, VT, 5254, USA","ROUTES 11/30 & 7, MANCHESTER, VT, 05254, USA",1993-11-08,,,"G.A. VERMONT, INC.",Business,"114 FIFTH AVENUE, NEW YORK, NY, 10011, USA","114 FIFTH AVENUE, NEW YORK, NY, 10011, USA",,,,,,
G & L General Store,Assumed Name,437529,Inactive - Expired,, None,"2813 VT-22A, BENSON, VT, 05743, USA",2023-11-08,,,VISAT ONE STOP INC,Business,"2813 VT-22A, BENSON, VT, 05743, USA","2813 VT-22A, BENSON, VT, 05743, USA",,,,,,
Strafford General Store,Assumed Name,466026,Active - Registered,, None,None,2025-04-14,,,"Strafford Community Market, LLC",Business,"216 VT Rte 132, South Strafford, VT, 05070 - 9700, USA",None,,,,,,
"Kingsbury's General Store, Inc.",Domestic Business Corporation,127527,Dissolved,," 4348 MAIN ST, WAITSFIELD, VT, 05673, USA","4348 MAIN ST, WAITSFIELD, VT, 05673, USA",,,,,,,,RICHARD JOHNSTON KING                                                                                Agent,Business,Active,None Registered Office (Street,"4219 MAIN ST BOX 879, WAITSFIELD, VT, 05673, USA",None
Louies Historic Rt 7A General Store,Assumed Name,228059,Inactive - Expired,," RTE 7A, SUNDERLAND, VT, 5255, USA","RTE 7A, SUNDERLAND, VT, 05255, USA",1986-07-01,,,"BARBARA LORENZO, LOUIS LORENZO",Individual,"PO BOX 440, MANCHESTER, VT, 05255, USA, SAME, USA","None, None",,,,,,
Historica Craftsbury General Store,Assumed Name,207165,Inactive - Expired,," CRAFTSBURY, VT, 5826, USA","118 CRAFTSBURY RD, CRAFTSBURY, VT, 05826, USA",2003-08-25,,,DAVID STEMBER,Individual,"118 CRAFTSBURY RD, CRAFTSBURY, VT, 05826, USA",None,,,,,,
"Wright's General Store & Deli, Inc.",Domestic Business Corporation,121468,Inactive - Administratively Terminated,," PO BOX 125, W CHARLESTON, VT, 05872, USA","PO BOX 125, W CHARLESTON, VT, 05872, USA",,,,,,,,DONNA WRIGHT Agent,Individual,Active,None Registered Office (Street,"PO BOX 125, W CHARLESTON, VT, 05872, USA","PO BOX 125, W CHARLESTON, VT, 05872, USA"
"Waits River General Store, Inc.",Domestic Business Corporation,063967,Dissolved,," WAITS RIVER, VT, 05086, USA",None,,,,,,,,JACK C.  BLANCHARD Agent,Individual,Active,None Registered Office (Street,"W. TOPSHAM, VT, 05086, USA",None
Leicester General Store,Assumed Name,160832,Inactive - Expired,," RTE 7, RD2, BRANDON, VT, 5733, USA","RTE 7, RD2, BRANDON, VT, 05733, USA",1978-08-23,,,JOHN RUBRIGHT,Individual,"RD 2, BRANDON, VT, 05733, USA",None,,,,,,
Mad River General Store,Assumed Name,287384,Inactive - Expired,, None,"164 WHITE PINE DR, WAITSFIELD, VT, 05673, USA",2013-11-18,,,JAMES G.  BOYLAW,Individual,"164 WHITE PINE DR, WAITSFIELD, VT, 05673, USA",None,,,,,,
The Tunbridge General Store,Assumed Name,477084,Active - Registered,, None,None,2025-10-03,,,"Middle Kingdom Company, LLC",Business,"528 VT ROUTE 110, TUNBRIDGE, VT, 05077, USA",None,,,,,,
The General Store Dao LLC,Domestic Limited Liability Company,361062,Active - NOT In Good StandingDesignated Office,,,"(Optional) 3008 Hennepin Ave, Minneapolis, VT, 55408, USA",,,,,,,,,,,,,
Peacham General Store,Assumed Name,245333,Inactive - Expired,," PEACHAM, VT, USA",None,1997-07-10,,,"ALIC SCENTPALY, KATALINI BOGNAR, DESI K.  BUHMAR, MEDIA FORUM INTERNATIONAL, LTD.",Individual,"None, None, BOX 65, PEACHAM, VT, 05862, USA, BOX 265, PEACHAM, VT, 05862, USA","None, None, None, BOX 265, PEACHAM, VT, 05862, USA",,,,,,
Lincoln General Store,Assumed Name,298658,Inactive - Expired,, None,"17 East River Road, Lincoln, VT, 05443, USA",2015-01-12,,,"STEARNS ENTERPRISES, INC.",Business,"17 EAST RIVER ROAD, LINCOLN, VT, 05443, USA","17 EAST RIVER ROAD, LINCOLN, VT, 05443, USA",,,,,,
Snowsville General Store,Assumed Name,215939,Inactive - Expired,," BRAINTREE, VT, 5060, USA",None,1995-03-06,,,EUGENE O.  BOOSKA,Individual,"4642 VT RTE 12, BRAINTREE, VT, 05060, USA",None,,,,,,
Waits River General Store,Assumed Name,272582,Inactive - Expired,," RTE 25/WAITS RIV VIL, TOPSHAM, VT, 5086, USA","RTE 25/WAITS RIV VIL, TOPSHAM, VT, 05086, USA",1990-04-18,,,"WILLIAM W.  MACDONALD, DONNA A.  MACDONALD",Individual,"ROUTE 25, WEST TOPSHAM, VT, 05086, USA, SAME, USA","None, None",,,,,,
Blemont General Store The,Assumed Name,273240,Inactive - Expired,," 575 CHAPMAN RD, LUDLOW, VT, 5149, USA","575 CHAPMAN RD, LUDLOW, VT, 05149, USA",1999-11-18,,,CHRISTOPHER KELLEY,Individual,"575 CHAPMAN RD, LUDLOW, VT, 05149, USA",None,,,,,,
Fletcher General Store,Assumed Name,248224,Inactive - Expired,," CEMETERY ROAD, FLETCHER, VT, 5444, USA","CEMETERY ROAD, FLETCHER, VT, 05444, USA",1988-04-07,,,"ORIN TILTON, DEBRA TILTON",Individual,"RR1, BOX 1762, CHAMBRIDGE, VT, 05444, USA, SAME, USA","None, None",,,,,,
Bowen's General Store,Assumed Name,191617,Inactive - Expired,," MAIN STREET, ALBANY, VT, 5820, USA","MAIN STREET, ALBANY, VT, 05820, USA",1983-01-31,,,"DOUGLAS M.  BOWEN, SANDRA J.  BOWEN",Individual,"MAIN STREET, ALBANY, VT, 05820, USA, SAME, USA","None, None",,,,,,
"East Calais General Store, LLC",Domestic Limited Liability Company,424617,Active - In Good StandingDesignated Office,,,"(Optional) PO Box 43, EAST CALAIS, VT, 05650, USA",,,,,,,,,,,,,
Albany General Store,Assumed Name,205097,Inactive - Expired,," ALBANY, VT, USA",None,2003-07-11,,,"DAVID L VON  HEEDER, DEBRA K  ALLINGER",Individual,"None, PO BOX 1211, TILLAMOOK, OR, 97141, USA","None, None",,,,,,
Fletcher General Store,Assumed Name,489685,Active - Registered,," 110 School Rd, Cambridge, VT, 05444 - 9695, USA",None,2026-04-12,,,Calob Russin,Individual,"110 School Rd, Cambridge, VT, 05444 - 9695, USA","110 School Rd, Cambridge, VT, 05444 - 9695, USA",,,,,,
Williamsville General Store,Assumed Name,186140,Inactive - Expired,," NEWFANE, VT, 5345, USA",None,2002-06-25,,,"RGOLD, INC.",Business,None,None,,,,,,
Hartland General Store,Assumed Name,176254,Inactive - Expired,," US ROUTE 5 & 12, HARTLAND, VT, 5048, USA","US ROUTE 5 & 12, HARTLAND, VT, 05048, USA",1992-08-13,,,"UPPER VALLEY STORES, INC.",Business,"US RTE 5 AND 12, HARTLAND, VT, 05048, USA","US RTE 5 AND 12, HARTLAND, VT, 05048, USA",,,,,,
"Gassett's General Store, Inc.",Domestic Business Corporation,115782,Dissolved,," JCT  VT RTES 103 & 10, CHESTER, VT, 05143, USA","JCT  VT RTES 103 & 10, CHESTER, VT, 05143, USA",,,,,,,,EARL S.  HASKELL Agent,Individual,Active,None Registered Office (Street,"RR4 BOX 11, CHESTER, VT, 05143, USA","RR4 BOX 11, CHESTER, VT, 05143, USA"
Stockbridge General Store,Assumed Name,228390,Inactive - Expired,," ROUTE 100, STOCKBRIDGE, VT, 5772, USA","ROUTE 100, STOCKBRIDGE, VT, 05772, USA",1986-07-16,,,"FRED WALL, DIANE SHERLOCK, JENNIFER BIRENBACH",Individual,"None, ROUTE 100, STOCKBRIDGE, VT, 05772, USA, SAME, USA","None, None, None",,,,,,
Lincoln General Store,Assumed Name,371539,Inactive - Cessated,, None,"17 east river road, lincoln, VT, 05443, USA",2020-05-11,,,"STEARNS ENTERPRISES, INC.",Business,"17 EAST RIVER ROAD, LINCOLN, VT, 05443, USA","17 EAST RIVER ROAD, LINCOLN, VT, 05443, USA",,,,,,
"Coburns' General Store, Inc.",Domestic Business Corporation,073967,Active - In Good Standing,," 216 VT RTE 132, S. STRAFFORD, VT, 05070, USA","PO Box 266, S. STRAFFORD, VT, 05070, USA",,,,,,,,PHILIP COBURN Agent,Individual,Active,None Registered Office (Street,"ONE MAIN ST, PO BX 265, SO. STRAFFORD, VT, 05070, USA","ONE MAIN ST, PO BX 265, SO. STRAFFORD, VT, 05070, USA"
West Barnet General Store,Assumed Name,167269,Inactive - Expired,," BARNET, VT, USA",None,2001-05-02,,,"SHARON ROY, LAURIE JEFFERSON",Individual,"None, 107 MCLAREN HILL RD, E RYEGATE, VT, 05042, USA","None, None",,,,,,
Walden General Store,Assumed Name,255357,Inactive - Expired,," 3496 VT RT 15, W DANVILLE, VT, 5873, USA","3496 VT RT 15, W DANVILLE, VT, 05873, USA",1998-05-15,,,"DEBORAH WILLEY, LAWRENCE R.  WILLEY",Individual,"None, RFD 1 BOX 120, GREENSBOOR BND, VT, 05842, USA","None, None",,,,,,
General Store Of Barton,Assumed Name,207204,Inactive - Expired,," BARTON, VT, USA","215 MAIN ST., BARTON, VT, 05822, USA",1994-08-05,,,"BARTON ENTERPRISES, INC.",Business,"215 MAIN ST, BARTON, VT, 05822, USA","215 MAIN ST, BARTON, VT, 05822, USA",,,,,,
Hanley's General Store,Assumed Name,405293,Active - Registered,, None,"1364 Stebbins Road, Jeffersonville, VT, 05464, USA",2022-03-14,,,SHAW D'ELIA INC.,Business,"1364 Stebbins Road, Jeffersonville, VT, 05464, USA","1364 Stebbins Road, Jeffersonville, VT, 05464, USA",,,,,,
Franklin General Store,Assumed Name,194885,Inactive - Expired,," PO BOX 57, FRANKLIN, VT, 5457, USA","PO BOX 57, FRANKLIN, VT, 05457, USA",2003-01-08,,,"SUSAN B  MAYO, WILLIAM L  MAYO",Individual,"None, 332 SANDY BAY RD, FRANKLIN, VT, 05457, USA","None, None",,,,,,
Historic Craftsbury General Store,Assumed Name,224714,Inactive - Expired,," CRAFTSBURY, VT, USA",None,1995-11-08,,,"GILBERT E.  GOODRIDGE, MARION K.  GOODRIDGE",Individual,"None, SAME, USA","None, None",,,,,,
"Robo's Creemees & General Store, LLC",Domestic Limited Liability Company,383276,Active - NOT In Good StandingDesignated Office,,,"(Optional) 33 Creek Rd, 33 Creek Rd, Castleton, VT, 05735, USA",,,,,,,,,,,,,
"Original General Store Of Route 100 Pittsfield, LLC",Reserved Name,142507,Inactive - ExpiredApplicant,"PO BOX 280, RUTLAND, VT, 05702, USA",,,,No NAICS info found.,,,,,,,,,,,
Debanville's General Store & Cafe,Assumed Name,312721,Inactive - Expired,, None,"37 Private West #2, Maidstone, VT, 05905, USA",2016-03-02,,,"BLOOMFIELD CORNER STORE, LLC",Business,"47 RTE 105, Bloomfield, VT, 05905, USA","37 Westside Lake #2, Maidstone, VT, 05905, USA",,,,,,
Mad River General Store,Assumed Name,352909,Active - Registered,, None,"164 WHITE PINES DR, WAITSFIELD, VT, 05673, USA",2019-02-01,,,JIM BOYLAN,Individual,"164 WHITE PINE DR, WAITSFIELD, VT, 05673, USA",None,,,,,,
Graniteville General Store,Assumed Name,198726,Inactive - Expired,," GRANITEVILLE, VT, 5654, USA","652 GRANITEVILLE RD, GRANITEVILLE, VT, 05654, USA",2003-03-17,,,"JACOBSEN, LLC",Business,"652 MAIN STREET, GRANITEVILLE, VT, 05654, USA","652 MAIN STREET, GRANITEVILLE, VT, 05654, USA",,,,,,
Westfield General Store,Assumed Name,495932,Active - Registered,," 17 N Hill Rd, Westfield, VT, 05874 - 9659, USA","17 N Hill Rd, Westfield, VT, 05874 - 9659, USA",2026-07-10,,,"P & D BREAULT, INC.",Business,"17 North Hill Road, WESTFIELD, VT, 05874, USA","17 North Hill Road, WESTFIELD, VT, 05874, USA",,,,,,
